burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.6032,91.699,0.9963,34.63,1
2,5.1338,106.319,0.9978,34.94,1
3,8.6432,116.069,0.9979,34.57,1
4,10.4298,116.043,0.9986,35.10,1
5,15.1392,89.648,0.9983,34.60,1
6,16.6805,100.365,0.9964,35.15,1
7,18.2538,100.462,0.9954,35.39,1
8,19.7845,253.064,0.9478,0.58,0
9,21.3152,89.852,0.9938,34.71,1
10,22.8778,413.373,0.9485,4.86,0
11,27.4272,173.545,0.9658,5.39,0
12,30.4992,82.049,0.9974,35.45,1
13,32.0298,71.545,0.9960,35.96,1
14,33.5605,930.697,0.9432,1.60,0
15,41.2352,73.084,0.9618,25.19,1
16,42.7658,82.099,0.9970,35.37,1
17,44.3072,81.946,0.9975,36.43,1
18,47.3578,701.452,0.9519,6.61,1
19,50.3978,71.280,0.9980,35.42,1
20,51.9072,81.940,0.9970,35.46,1
21,53.4378,626.855,0.9539,6.25,1
22,56.4992,71.294,0.9961,34.99,1
23,59.5605,775.972,0.9504,3.89,0
24,61.1018,71.397,0.9975,35.73,1
25,62.6325,71.208,0.9958,35.26,1
26,64.1738,71.283,0.9978,35.15,1
27,65.7365,616.234,0.9287,2.51,0
28,67.2778,81.795,0.9967,35.14,1
29,68.8512,381.487,0.9466,1.14,0
30,70.4138,71.102,0.9978,35.23,1
31,71.9338,81.849,0.9926,34.81,1
32,74.9845,370.852,0.9474,7.57,1
33,76.5045,92.341,0.9977,35.26,1
34,78.0672,70.915,0.9943,34.83,1
35,79.5672,610.593,0.9477,4.66,0
36,81.0858,81.504,0.9941,34.71,1
37,82.6165,81.951,0.9934,35.57,1
38,87.2085,71.151,0.9971,35.49,1
39,90.2698,101.272,0.9977,36.03,1
40,91.8218,101.317,0.9991,34.87,1
